zip_code,zip_city,municipal_code,municipal_number
0001,OSLO,0301,OSLO
0010,OSLO,0301,OSLO
0015,OSLO,0301,OSLO
0018,OSLO,0301,OSLO
0021,OSLO,0301,OSLO
0024,OSLO,0301,OSLO
0026,OSLO,0301,OSLO
0028,OSLO,0301,OSLO
0030,OSLO,0301,OSLO
0031,OSLO,0301,OSLO
0032,OSLO,0301,OSLO
0033,OSLO,0301,OSLO
0034,OSLO,0301,OSLO
0037,OSLO,0301,OSLO
0040,OSLO,0301,OSLO
0045,OSLO,0301,OSLO
0046,OSLO,0301,OSLO
0047,OSLO,0301,OSLO
0048,OSLO,0301,OSLO
0050,OSLO,0301,OSLO
0055,OSLO,0301,OSLO
0060,OSLO,0301,OSLO
0081,OSLO,0301,OSLO
0101,OSLO,0301,OSLO
0102,OSLO,0301,OSLO
0103,OSLO,0301,OSLO
0104,OSLO,0301,OSLO
0105,OSLO,0301,OSLO
0106,OSLO,0301,OSLO
0107,OSLO,0301,OSLO
0109,OSLO,0301,OSLO
0110,OSLO,0301,OSLO
0111,OSLO,0301,OSLO
0112,OSLO,0301,OSLO
0113,OSLO,0301,OSLO
0114,OSLO,0301,OSLO
0115,OSLO,0301,OSLO
0116,OSLO,0301,OSLO
0117,OSLO,0301,OSLO
0118,OSLO,0301,OSLO
0119,OSLO,0301,OSLO
0120,OSLO,0301,OSLO
0121,OSLO,0301,OSLO
0122,OSLO,0301,OSLO
0123,OSLO,0301,OSLO
0124,OSLO,0301,OSLO
0125,OSLO,0301,OSLO
0128,OSLO,0301,OSLO
0129,OSLO,0301,OSLO
0130,OSLO,0301,OSLO
0131,OSLO,0301,OSLO
0132,OSLO,0301,OSLO
0133,OSLO,0301,OSLO
0134,OSLO,0301,OSLO
0135,OSLO,0301,OSLO
0136,OSLO,0301,OSLO
0138,OSLO,0301,OSLO
0139,OSLO,0301,OSLO
0140,OSLO,0301,OSLO
0150,OSLO,0301,OSLO
0151,OSLO,0301,OSLO
0152,OSLO,0301,OSLO
0153,OSLO,0301,OSLO
0154,OSLO,0301,OSLO
0155,OSLO,0301,OSLO
0157,OSLO,0301,OSLO
0158,OSLO,0301,OSLO
0159,OSLO,0301,OSLO
0160,OSLO,0301,OSLO
0161,OSLO,0301,OSLO
0162,OSLO,0301,OSLO
0164,OSLO,0301,OSLO
0165,OSLO,0301,OSLO
0166,OSLO,0301,OSLO
0167,OSLO,0301,OSLO
0168,OSLO,0301,OSLO
0169,OSLO,0301,OSLO
0170,OSLO,0301,OSLO
0171,OSLO,0301,OSLO
0172,OSLO,0301,OSLO
0173,OSLO,0301,OSLO
0174,OSLO,0301,OSLO
0175,OSLO,0301,OSLO
0176,OSLO,0301,OSLO
0177,OSLO,0301,OSLO
0178,OSLO,0301,OSLO
0179,OSLO,0301,OSLO
0180,OSLO,0301,OSLO
0181,OSLO,0301,OSLO
0182,OSLO,0301,OSLO
0183,OSLO,0301,OSLO
0184,OSLO,0301,OSLO
0185,OSLO,0301,OSLO
0186,OSLO,0301,OSLO
0187,OSLO,0301,OSLO
0188,OSLO,0301,OSLO
0190,OSLO,0301,OSLO
0191,OSLO,0301,OSLO
0192,OSLO,0301,OSLO
0193,OSLO,0301,OSLO
0194,OSLO,0301,OSLO
0195,OSLO,0301,OSLO
0196,OSLO,0301,OSLO
0198,OSLO,0301,OSLO
0201,OSLO,0301,OSLO
0202,OSLO,0301,OSLO
0203,OSLO,0301,OSLO
0204,OSLO,0301,OSLO
0207,OSLO,0301,OSLO
0208,OSLO,0301,OSLO
0211,OSLO,0301,OSLO
0212,OSLO,0301,OSLO
0213,OSLO,0301,OSLO
0214,OSLO,0301,OSLO
0215,OSLO,0301,OSLO
0216,OSLO,0301,OSLO
0217,OSLO,0301,OSLO
0218,OSLO,0301,OSLO
0230,OSLO,0301,OSLO
0240,OSLO,0301,OSLO
0244,OSLO,0301,OSLO
0247,OSLO,0301,OSLO
0250,OSLO,0301,OSLO
0251,OSLO,0301,OSLO
0252,OSLO,0301,OSLO
0253,OSLO,0301,OSLO
0254,OSLO,0301,OSLO
0255,OSLO,0301,OSLO
0256,OSLO,0301,OSLO
0257,OSLO,0301,OSLO
0258,OSLO,0301,OSLO
0259,OSLO,0301,OSLO
0260,OSLO,0301,OSLO
0262,OSLO,0301,OSLO
0263,OSLO,0301,OSLO
0264,OSLO,0301,OSLO
0265,OSLO,0301,OSLO
0266,OSLO,0301,OSLO
0267,OSLO,0301,OSLO
0268,OSLO,0301,OSLO
0270,OSLO,0301,OSLO
0271,OSLO,0301,OSLO
0272,OSLO,0301,OSLO
0273,OSLO,0301,OSLO
0274,OSLO,0301,OSLO
0275,OSLO,0301,OSLO
0276,OSLO,0301,OSLO
0277,OSLO,0301,OSLO
0278,OSLO,0301,OSLO
0279,OSLO,0301,OSLO
0280,OSLO,0301,OSLO
0281,OSLO,0301,OSLO
0282,OSLO,0301,OSLO
0283,OSLO,0301,OSLO
0284,OSLO,0301,OSLO
0286,OSLO,0301,OSLO
0287,OSLO,0301,OSLO
0301,OSLO,0301,OSLO
0302,OSLO,0301,OSLO
0303,OSLO,0301,OSLO
0304,OSLO,0301,OSLO
0305,OSLO,0301,OSLO
0306,OSLO,0301,OSLO
0307,OSLO,0301,OSLO
0308,OSLO,0301,OSLO
0309,OSLO,0301,OSLO
0311,OSLO,0301,OSLO
0313,OSLO,0301,OSLO
0314,OSLO,0301,OSLO
0315,OSLO,0301,OSLO
0316,OSLO,0301,OSLO
0317,OSLO,0301,OSLO
0318,OSLO,0301,OSLO
0319,OSLO,0301,OSLO
0323,OSLO,0301,OSLO
0330,OSLO,0301,OSLO
0340,OSLO,0301,OSLO
0349,OSLO,0301,OSLO
0350,OSLO,0301,OSLO
0351,OSLO,0301,OSLO
0352,OSLO,0301,OSLO
0353,OSLO,0301,OSLO
0354,OSLO,0301,OSLO
0355,OSLO,0301,OSLO
0356,OSLO,0301,OSLO
0357,OSLO,0301,OSLO
0358,OSLO,0301,OSLO
0359,OSLO,0301,OSLO
0360,OSLO,0301,OSLO
0361,OSLO,0301,OSLO
0362,OSLO,0301,OSLO
0363,OSLO,0301,OSLO
0364,OSLO,0301,OSLO
0365,OSLO,0301,OSLO
0366,OSLO,0301,OSLO
0367,OSLO,0301,OSLO
0368,OSLO,0301,OSLO
0369,OSLO,0301,OSLO
0370,OSLO,0301,OSLO
0371,OSLO,0301,OSLO
0372,OSLO,0301,OSLO
0373,OSLO,0301,OSLO
0374,OSLO,0301,OSLO
0375,OSLO,0301,OSLO
0376,OSLO,0301,OSLO
0377,OSLO,0301,OSLO
0378,OSLO,0301,OSLO
0379,OSLO,0301,OSLO
0380,OSLO,0301,OSLO
0381,OSLO,0301,OSLO
